date,close,high,low,open,volume,tic,day
2015-05-26,175.74684143066406,177.59022873549696,175.32978674633526,177.16482481188226,124308600,SPY,1
2015-05-27,177.41506958007812,177.64861919749248,175.79689528263626,176.20561347686115,93214000,SPY,2
2015-05-28,177.21487426757812,177.3232998260336,176.52256199475443,177.10643598162432,74974600,SPY,3
2015-05-29,176.1138458251953,177.18984127544758,175.84693745426003,177.14814599037848,124919600,SPY,4
2015-06-01,176.4725341796875,177.11478926230401,175.6801200573042,176.78115058893178,93338800,SPY,0
2015-06-02,176.29734802246094,176.9896602917937,175.3881719098124,176.01375390562535,91531000,SPY,1
2015-06-03,176.7644500732422,177.39003207918975,176.27232861649642,176.8311803478431,87820900,SPY,2
2015-06-04,175.2714080810547,176.71441374466318,174.95444244387514,176.0554729346047,151882800,SPY,3
2015-06-05,174.97109985351562,175.64672630543546,174.31214642269472,175.12123340838804,121704700,SPY,4
2015-06-08,173.8951416015625,175.01285798264342,173.82007480262817,174.86271165727408,89063300,SPY,0
2015-06-09,173.8701171875,174.41229598171893,173.23619856960607,173.8701171875,105034700,SPY,1
2015-06-10,175.95533752441406,176.33903336595446,174.5790624015452,174.63744342868372,134551300,SPY,2
2015-06-11,176.52256774902344,176.90625092683163,176.163894106291,176.39744370865216,73876400,SPY,3
2015-06-12,175.1713104248047,176.39745226039358,174.89605279564194,175.69680341934261,135382400,SPY,4
2015-06-15,174.4206085205078,174.7042026478883,173.31957805773825,174.02857610368824,124384200,SPY,0
2015-06-16,175.37147521972656,175.45489123829736,174.09528904607768,174.2704448665799,85308200,SPY,1
2015-06-17,175.6551055908203,176.26401465162957,174.62915453353233,175.6551055908203,126708600,SPY,2
2015-06-18,177.4818115234375,177.9489107889611,175.6884812588379,176.25566958768786,165867900,SPY,3
2015-06-19,176.69395446777344,177.3142025510205,176.3167819370388,177.23877060275584,130478700,SPY,4
2015-06-22,177.59912109375,178.18583515828453,177.38957944288714,177.6158880068531,70696000,SPY,0
2015-06-23,177.7248992919922,178.06017371704328,177.330972625351,177.80872109560786,68476800,SPY,1
2015-06-24,176.43411254882812,177.83384957921308,176.40896856781723,177.45667707463926,92307300,SPY,2
2015-06-25,175.89767456054688,177.06272583076822,175.82224262255068,176.93700593410784,97107400,SPY,3
2015-06-26,175.86410522460938,176.5011071751135,175.3109122523945,176.25803172244056,104174800,SPY,4
2015-06-29,172.17623901367188,175.87255802519303,172.1008070639049,174.38062200143642,202621300,SPY,0
2015-06-30,172.53663635253906,173.76874253924814,172.05887515020245,173.7184417894679,182925100,SPY,1
2015-07-01,173.9196014404297,174.36382879685968,173.13172264543013,174.1123762127988,135979900,SPY,2
2015-07-02,173.7603302001953,174.56497583022008,173.34124686546352,174.39734505420904,104373700,SPY,3
2015-07-06,173.265869140625,174.04535824817208,172.26844844561646,172.46961311340883,117975400,SPY,0
2015-07-07,174.35540771484375,174.48112758042944,171.0781734649074,173.46695322628753,173820200,SPY,1
2015-07-08,171.43023681640625,173.29934500568518,171.19555115987836,173.01437139267406,164020100,SPY,2
2015-07-09,171.74037170410156,173.79389058964972,171.6314187172179,173.5340481393017,144113100,SPY,3
2015-07-10,173.90280151367188,174.32188481108537,171.78224105191214,173.74354781434957,129456900,SPY,4
2015-07-13,175.8221893310547,175.93114227866695,175.12650960510456,175.16842048775808,106069400,SPY,0
2015-07-14,176.58497619628906,176.89510661068846,175.72166541098707,175.78034322620687,81709600,SPY,1
2015-07-15,176.5262908935547,177.08786105321775,176.04852973105105,176.62686680590957,97914100,SPY,2
2015-07-16,177.94277954101562,177.94277954101562,177.33929853939924,177.58236123671878,106683300,SPY,3
2015-07-17,178.09368896484375,178.15236678334605,177.52374164493582,177.93443521680734,89030000,SPY,4
2015-07-20,178.1858367919922,178.68035202310475,177.86734217655754,178.3199465192318,70446800,SPY,0
2015-07-21,177.48182678222656,178.3116165505911,177.18008621094953,178.05177408941046,77965000,SPY,1
2015-07-22,177.16331481933594,177.4985892175164,176.76099833092994,176.7945193760427,88667900,SPY,2
2015-07-23,176.1658477783203,177.39795368898996,175.80544228347227,177.29737779078255,90509100,SPY,3
2015-07-24,174.3386993408203,176.32515062050572,174.00343772708302,176.26648559333654,117755000,SPY,4
2015-07-27,173.32452392578125,173.96153894141415,172.88029650141178,173.4502566317459,132361100,SPY,0
2015-07-28,175.45343017578125,175.5959169746355,173.3328695285481,174.16264634478205,123544800,SPY,1
2015-07-29,176.66033935546875,176.8866350797686,175.43661075887195,175.5790975150845,105791300,SPY,2
2015-07-30,176.70228576660156,176.86991652588898,175.52884487277532,176.14909275048663,91304400,SPY,3
2015-07-31,176.43411254882812,177.23036845613078,176.14913890443106,177.20522447511988,103266900,SPY,4
2015-08-03,175.83897399902344,176.45922191758902,174.88346453980012,176.4005569032075,113965700,SPY,0
2015-08-04,175.4953155517578,176.22451635440734,175.00917742018927,175.76352219607455,81820800,SPY,1
2015-08-05,176.07373046875,177.11304926105268,175.7887439968943,176.39222520054653,85786800,SPY,2
2015-08-06,174.6320037841797,176.36700187207867,174.0452769744549,176.25803612923153,116030800,SPY,3
2015-08-07,174.29676818847656,174.6236527001802,173.3915465892797,174.47278882835204,117858000,SPY,4
2015-08-10,176.49273681640625,176.57654579787817,175.4114948033438,175.4114948033438,80270700,SPY,0
2015-08-11,174.9002227783203,175.5707586157841,174.1374881033377,175.15167531604513,126081400,SPY,1
2015-08-12,175.1098175048828,175.29421523581243,172.12594555261967,173.59273754629822,172123700,SPY,2
2015-08-13,174.8918914794922,175.63785943664448,174.3470753736282,174.95055650631437,89383300,SPY,3
2015-08-14,175.5288543701172,175.60428629746687,174.55657800847317,174.69906480104737,72786500,SPY,4
2015-08-17,176.50953674316406,176.50953674316406,174.4727976342311,174.93379191487742,79072600,SPY,0
2015-08-18,175.9982452392578,176.58495938855856,175.76355957953749,176.2329308989781,71692700,SPY,1
2015-08-19,174.60687255859375,176.0233633719876,173.79384993200853,175.2522516333577,172946000,SPY,2
2015-08-20,170.96090698242188,174.58178141122372,170.90222915934876,173.08984532300005,194327900,SPY,3
2015-08-21,165.81451416015625,170.93571303467735,165.55468453829255,169.08335906329378,346588500,SPY,4
2015-08-24,158.8325653076172,165.5211309675056,152.88157753389092,157.14785510299993,507244300,SPY,0
2015-08-25,156.9634246826172,163.81961966834115,156.67006132802624,163.80285275937484,369833100,SPY,1
2015-08-26,162.98989868164062,163.26648243214422,157.88545386603704,160.99505788498155,339257000,SPY,2
2015-08-27,167.02149963378906,167.14721953638156,163.61854451657695,165.13562435844057,274143900,SPY,3
2015-08-28,167.0298309326172,167.49920215957198,165.8899239002669,166.37606203944344,160414400,SPY,4
2015-08-31,165.6803436279297,166.90407214663924,165.12715075826358,166.04913887437377,163298800,SPY,0
2015-09-01,160.73524475097656,163.24974505608074,159.86354414980423,161.8667622146275,256000400,SPY,1
2015-09-02,163.78614807128906,163.82805896165158,161.2800251847447,163.1239892560224,160269300,SPY,2
2015-09-03,163.9034881591797,165.99890474830394,163.40897291360426,164.49857930842256,152087800,SPY,3
2015-09-04,161.42251586914062,162.48699112083295,160.60111611376172,161.64044738851246,207081000,SPY,4
2015-09-08,165.47921752929688,165.63009416033984,163.58496571100363,164.2303575421744,116025700,SPY,1
2015-09-09,163.26646423339844,167.18909052015616,162.89768167736435,167.06337064757716,149347700,SPY,2
2015-09-10,164.15493774414062,165.30322192163933,162.81386603554935,163.0736956416046,158611100,SPY,3
2015-09-11,164.90087890625,164.9679337597962,163.04852534657667,163.7609719747754,119691200,SPY,4
2015-09-14,164.2890625,165.12722926243146,163.8029242430606,165.07694130299114,79452000,SPY,0
2015-09-15,166.34255981445312,166.786787118012,164.24714317902138,164.79194638847036,113806200,SPY,1
2015-09-16,167.78419494628906,167.97698248541326,166.300649174541,166.6443005727278,99581600,SPY,2
2015-09-17,167.4070281982422,170.05563798888642,167.02985574836006,167.6501036986477,276046600,SPY,3
2015-09-18,164.67132568359375,167.39267480976977,164.25849712014326,164.89039016793595,223657500,SPY,4
2015-09-21,165.5222625732422,166.55012997537312,164.46910762492797,165.50540849441848,105726200,SPY,0
2015-09-22,163.37388610839844,163.83727703326133,162.2364731888168,163.34861140848776,153890900,SPY,1
